model_name,total_time_train,time_epoch,time_predict,time_system,EVS,ME,MAE,MSE,RMSE,MSLE,MedAE,R2,MRE,MAPE,SMAPE,MAAPE,MASE,NSE,Willmott_Index,R,Confidence
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",58.5816,0.0586,0.06733394,58.6979,0.8205,15.052065196037292,1.8397,7.1142,2.6673,0.1148,1.294,0.7817,0.2778,27.7845,32.9638,0.2637,0.6478,0.7817,0.9386,0.9127,0.8567
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",57.0936,0.0571,0.07979846,57.2223,0.8181,13.01959765434265,1.5568,6.0224,2.4541,0.0525,0.8432,0.8152,0.2234,22.3416,20.5882,0.2109,0.5481,0.8152,0.9484,0.9133,0.8662
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",60.3606,0.0604,0.06882763,60.4773,0.8242,13.48224486351013,1.5173,5.8292,2.4144,0.0533,0.8957,0.8211,0.2061,20.6135,21.1213,0.1973,0.5342,0.8211,0.9489,0.9139,0.8672
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",63.3552,0.0634,0.08359313,63.473,0.8269,12.485548152923583,1.6766,5.824,2.4133,0.0614,1.0998,0.8213,0.2723,27.227,23.7862,0.2518,0.5903,0.8213,0.9475,0.9149,0.8669
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",60.8005,0.0608,0.08160663,60.9298,0.8077,13.943266024589537,1.6199,6.2942,2.5088,0.0569,0.9214,0.8068,0.2376,23.7572,21.9725,0.223,0.5704,0.8068,0.9442,0.906,0.8554
"MLP2-run_8-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",62.8985,0.0629,0.08426118,63.0248,0.8317,13.062929477691648,1.5581,5.5872,2.3637,0.0668,0.9794,0.8285,0.2352,23.5225,23.8891,0.2212,0.5486,0.8285,0.9515,0.9197,0.8751
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_sgd-lo_mse",56.6839,0.0567,0.08477974,56.7955,0.8117,13.734318022727965,1.5076,6.1363,2.4772,0.0487,0.788,0.8117,0.2058,20.5799,19.8049,0.1952,0.5308,0.8117,0.9471,0.91,0.8619
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_rmsprop-lo_mse",59.3642,0.0594,0.07602382,59.4659,0.8193,15.067213096618651,1.9443,7.7148,2.7775,0.1307,1.4023,0.7633,0.3025,30.2496,36.9942,0.2855,0.6846,0.7633,0.9325,0.9116,0.8501
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adagrad-lo_mse",57.6054,0.0576,0.06379104,57.716,0.8092,13.842847137451171,1.6183,6.384,2.5267,0.0678,0.9944,0.8041,0.2333,23.328,24.7826,0.2209,0.5698,0.8041,0.9465,0.9108,0.8621
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adadelta-lo_mse",61.6276,0.0616,0.06962442,61.7387,0.8109,15.00199836730957,1.748,7.2803,2.6982,0.0871,1.0675,0.7766,0.2473,24.733,28.6868,0.2366,0.6155,0.7766,0.9346,0.9051,0.8459
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adam-lo_mse",60.0442,0.06,0.06821847,60.1535,0.8223,13.15060709953308,1.5785,5.8794,2.4247,0.0514,0.9099,0.8196,0.2364,23.6383,21.2835,0.2222,0.5558,0.8196,0.948,0.9129,0.8654
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_adamax-lo_mse",58.467,0.0585,0.06682777,58.5751,0.8199,13.76652904987335,1.5297,5.8787,2.4246,0.052,0.8785,0.8196,0.2124,21.2369,20.7754,0.2021,0.5386,0.8196,0.9485,0.9117,0.8647
"MLP2-run_9-hs_(20, False)-ep_1000-bs_32-lr_0.01-ac_('elu', 'elu')-op_nadam-lo_mse",61.6093,0.0616,0.07500339,61.7294,0.8287,13.405905618667601,1.5562,5.7225,2.3922,0.0649,0.9889,0.8244,0.2256,22.5642,23.9126,0.2143,0.5479,0.8244,0.9522,0.9176,0.8737
